date,nav_adjusted,H11009.CSI,excess_nav
2023-04-06,2.2442,1.1728,2.0714
2023-04-07,2.2547,1.1734,2.0813
2023-04-10,2.2543,1.1735,2.0808
2023-04-11,2.2578,1.1742,2.0836
2023-04-12,2.261,1.1748,2.0862
2023-04-13,2.2641,1.1749,2.0892
2023-04-14,2.2603,1.175,2.0853
2023-04-17,2.2432,1.1751,2.0681
2023-04-18,2.23,1.1754,2.0546
2023-04-19,2.2213,1.1759,2.0454
2023-04-20,2.2319,1.1762,2.0557
2023-04-21,2.2351,1.1764,2.0587
2023-04-24,2.2474,1.1772,2.0702
2023-04-25,2.2382,1.1773,2.0609
2023-04-26,2.2472,1.1777,2.0695
2023-04-27,2.2484,1.1786,2.0698
2023-04-28,2.2666,1.1787,2.0879
2023-05-04,2.2771,1.1805,2.0966
2023-05-05,2.2835,1.1818,2.1017
2023-05-08,2.2555,1.1818,2.0737
2023-05-09,2.2438,1.1824,2.0614
2023-05-10,2.2509,1.1833,2.0676
2023-05-11,2.2649,1.1843,2.0806
2023-05-12,2.2783,1.1844,2.0939
2023-05-15,2.2681,1.1848,2.0833
2023-05-16,2.2645,1.1851,2.0794
2023-05-17,2.2656,1.185,2.0806
2023-05-18,2.2668,1.1849,2.0819
2023-05-19,2.3069,1.1852,2.1217
2023-05-22,2.3471,1.1858,2.1613
2023-05-23,2.3702,1.1868,2.1834
2023-05-24,2.3765,1.1867,2.1898
2023-05-25,2.3878,1.1864,2.2014
2023-05-26,2.3807,1.1862,2.1945
2023-05-29,2.3556,1.1865,2.1691
2023-05-30,2.3638,1.1869,2.1769
2023-05-31,2.4008,1.1872,2.2136
2023-06-01,2.3774,1.188,2.1894
2023-06-02,2.3466,1.1876,2.159
2023-06-05,2.3305,1.188,2.1425
2023-06-06,2.3335,1.1885,2.145
2023-06-07,2.3429,1.189,2.1539
2023-06-08,2.3372,1.1889,2.1483
2023-06-09,2.3368,1.1895,2.1473
2023-06-12,2.3322,1.19,2.1422
2023-06-13,2.331,1.1918,2.1392
2023-06-14,2.3071,1.1923,2.1148
2023-06-15,2.3074,1.1913,2.1161
2023-06-16,2.295,1.1906,2.1044
2023-06-19,2.3021,1.19,2.1121
2023-06-20,2.3078,1.1903,2.1175
2023-06-21,2.3007,1.1909,2.1098
2023-06-26,2.3165,1.1916,2.1249
2023-06-27,2.3055,1.1912,2.1143
2023-06-28,2.3063,1.1919,2.1144
2023-06-29,2.2923,1.1921,2.1002
2023-06-30,2.2691,1.1932,2.0759
2023-07-03,2.2716,1.1929,2.0787
2023-07-04,2.2676,1.1935,2.0741
2023-07-05,2.2631,1.1933,2.0698
2023-07-06,2.2597,1.1934,2.0663
2023-07-07,2.2334,1.194,2.0394
2023-07-10,2.216,1.1944,2.0216
2023-07-11,2.1908,1.1948,1.996
2023-07-12,2.1841,1.1949,1.9892
2023-07-13,2.1801,1.1952,1.9849
2023-07-14,2.1784,1.1954,1.983
2023-07-17,2.1866,1.196,1.9906
2023-07-18,2.1845,1.1964,1.9881
2023-07-19,2.1663,1.1966,1.9697
2023-07-20,2.1667,1.1967,1.97
2023-07-21,2.1586,1.1972,1.9614
2023-07-24,2.1515,1.198,1.9535
2023-07-25,2.1381,1.1959,1.9422
2023-07-26,2.131,1.1965,1.9345
2023-07-27,2.1166,1.1974,1.9192
2023-07-28,2.0886,1.1972,1.8914
2023-07-31,2.0714,1.197,1.8744
2023-08-01,2.0739,1.1975,1.8764
2023-08-02,2.0656,1.1978,1.8678
2023-08-03,2.0675,1.1983,1.8692
2023-08-04,2.0673,1.1984,1.8689
2023-08-07,2.0771,1.199,1.8781
2023-08-08,2.0723,1.1993,1.873
2023-08-09,2.0698,1.1996,1.8702
2023-08-10,2.071,1.1997,1.8713
2023-08-11,2.0729,1.1997,1.8732
2023-08-14,2.0798,1.2006,1.8792
2023-08-15,2.0898,1.2024,1.8874
2023-08-16,2.0879,1.2029,1.885
2023-08-17,2.0867,1.2032,1.8835
2023-08-18,2.0848,1.2037,1.8811
2023-08-21,2.0865,1.2046,1.8819
2023-08-22,2.0867,1.2047,1.882
2023-08-23,2.0861,1.2052,1.8809
2023-08-24,2.0842,1.2056,1.8786
2023-08-25,2.0852,1.2053,1.8799
2023-08-28,2.08,1.2047,1.8753
2023-08-29,2.0716,1.2043,1.8673
2023-08-30,2.0614,1.2049,1.8565
2023-08-31,2.0696,1.2053,1.8643
2023-09-01,2.0656,1.2045,1.8611
2023-09-04,2.0535,1.2032,1.8503
2023-09-05,2.0503,1.2032,1.8471
2023-09-06,2.0524,1.2021,1.8503
2023-09-07,2.047,1.2011,1.8459
2023-09-08,2.0372,1.2009,1.8363
2023-09-11,2.033,1.2008,1.8322
2023-09-12,2.0273,1.2012,1.8261
2023-09-13,2.0426,1.2014,1.8412
2023-09-14,2.0447,1.202,1.8427
2023-09-15,2.0476,1.2017,1.8459
2023-09-18,2.0328,1.2008,1.832
2023-09-19,2.0309,1.2008,1.8301
2023-09-20,2.0223,1.2008,1.8215
2023-09-21,2.0284,1.2011,1.8273
2023-09-22,2.0204,1.2005,1.8199
2023-09-25,2.0161,1.2005,1.8156
2023-09-26,2.0213,1.2002,1.8211
2023-09-27,2.0219,1.2001,1.8218
2023-09-28,2.0227,1.2014,1.8213
2023-10-09,2.0209,1.2021,1.8188
2023-10-10,2.0273,1.2012,1.8261
2023-10-11,2.0282,1.2004,1.8278
2023-10-12,2.0204,1.2003,1.8201
2023-10-13,2.0232,1.2006,1.8226
2023-10-16,2.0219,1.2009,1.821
2023-10-17,2.0196,1.2004,1.8192
2023-10-18,2.0244,1.2001,1.8243
2023-10-19,2.0445,1.1992,1.8453
2023-10-20,2.0424,1.1991,1.8433
2023-10-23,2.0503,1.1995,1.8508
2023-10-24,2.0397,1.1987,1.841
2023-10-25,2.0378,1.199,1.8388
2023-10-26,2.0372,1.1989,1.8383
2023-10-27,2.0232,1.1989,1.8243
2023-10-30,2.0246,1.1995,1.8251
2023-10-31,2.0284,1.2002,1.8282
2023-11-01,2.0399,1.1999,1.84
2023-11-02,2.0409,1.2006,1.8403
2023-11-03,2.0276,1.2006,1.827
2023-11-06,2.0196,1.2006,1.819
2023-11-07,2.0154,1.2008,1.8146
2023-11-08,2.0194,1.2012,1.8182
2023-11-09,2.0267,1.2014,1.8253
2023-11-10,2.0399,1.2014,1.8385
2023-11-13,2.0556,1.2021,1.8535
2023-11-14,2.0497,1.2022,1.8475
2023-11-15,2.043,1.2025,1.8405
2023-11-16,2.0334,1.2029,1.8305
2023-11-17,2.0443,1.2034,1.8409
2023-11-20,2.033,1.2038,1.8292
2023-11-21,2.0629,1.2038,1.8591
2023-11-22,2.0911,1.2037,1.8874
2023-11-23,2.1059,1.2028,1.9031
2023-11-24,2.0978,1.2033,1.8945
2023-11-27,2.117,1.2029,1.9141
2023-11-28,2.1063,1.2034,1.9029
2023-11-29,2.1047,1.2036,1.9011
2023-11-30,2.0961,1.2045,1.8916
2023-12-01,2.1132,1.2052,1.908
2023-12-04,2.1393,1.2053,1.934
2023-12-05,2.1715,1.2056,1.9659
2023-12-06,2.1676,1.2053,1.9623
2023-12-07,2.1816,1.2056,1.976
2023-12-08,2.1703,1.2056,1.9647
2023-12-11,2.1533,1.2066,1.9467
2023-12-12,2.1471,1.2065,1.9406
2023-12-13,2.1575,1.2079,1.9496
2023-12-14,2.1584,1.2081,1.9503
2023-12-15,2.1381,1.2091,1.929
2023-12-18,2.1387,1.21,1.9287
2023-12-19,2.1354,1.2102,1.9252
2023-12-20,2.1398,1.2107,1.9291
2023-12-21,2.1281,1.2118,1.9163
2023-12-22,2.1383,1.2126,1.9257
2023-12-25,2.1297,1.2142,1.9155
2023-12-26,2.1333,1.2152,1.9181
2023-12-27,2.1274,1.216,1.9114
2023-12-28,2.108,1.2166,1.8914
2023-12-29,2.107,1.2173,1.8897
2024-01-02,2.121,1.2172,1.9038
2024-01-03,2.1356,1.2171,1.9185
2024-01-04,2.1398,1.2178,1.922
2024-01-05,2.1642,1.2191,1.9451
2024-01-08,2.1891,1.2194,1.9697
2024-01-09,2.1956,1.2205,1.9751
2024-01-10,2.1951,1.2202,1.9749
2024-01-11,2.1874,1.2207,1.9667
2024-01-12,2.1793,1.2201,1.9592
2024-01-15,2.1774,1.2207,1.9567
2024-01-16,2.1648,1.2206,1.9442
2024-01-17,2.174,1.2215,1.9525
2024-01-18,2.1905,1.2222,1.9683
2024-01-19,2.173,1.223,1.95
2024-01-22,2.1836,1.2246,1.959
2024-01-23,2.1763,1.2243,1.952
2024-01-24,2.1602,1.2247,1.9355
2024-01-25,2.1414,1.2256,1.9158
2024-01-26,2.1477,1.2258,1.9219
2024-01-29,2.1692,1.2266,1.9426
2024-01-30,2.1807,1.229,1.9517
2024-01-31,2.1897,1.2309,1.9588
2024-02-01,2.1885,1.2306,1.9579
2024-02-02,2.2064,1.2309,1.9755
2024-02-05,2.2108,1.233,1.9778
2024-02-06,2.1847,1.2313,1.9534
2024-02-07,2.1776,1.2322,1.9454
2024-02-08,2.1694,1.2317,1.9377
2024-02-19,2.1699,1.233,1.9369
2024-02-20,2.1682,1.2339,1.9343
2024-02-21,2.1592,1.2343,1.9249
2024-02-22,2.1544,1.2352,1.9192
2024-02-23,2.1406,1.2358,1.9048
2024-02-26,2.1467,1.2364,1.9103
2024-02-27,2.1314,1.238,1.8934
2024-02-28,2.1224,1.2388,1.8836
